track_name,artist_name,year,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,gender,ethnicity
She Bangs - English Version,Ricky Martin,2000,143,C#,Major,63,85,95,0,0,37,8,Male,White (American)
Never Be The Same Again,Melanie C,2000,160,D#,Major,68,39,68,9,0,11,4,Female,White (British)
Against All Odds (Take A Look at Me Now) - Mariah Only,Mariah Carey,2000,117,C#,Major,54,21,49,49,0,10,2,Female,Multiracial (American)
Where I Wanna Be,Donell Jones,2000,102,F,Minor,66,45,39,52,0,26,2,Male,Black (American)
Hey Baby (Radio Mix),DJ Ã–tzi,2000,135,A#,Major,66,83,96,12,0,34,4,Male,White (Austrian)
The Way You Love Me,Faith Hill,2000,101,D,Major,62,73,71,12,0,3,3,Female,White (American)
Be With You,Enrique Iglesias,2000,121,C#,Minor,68,54,86,3,0,4,3,Male,White (Spanish)
No More,Ruff Endz,2000,97,A#,Minor,83,92,64,3,0,6,8,Group,Black (American)
There You Go,P!nk,2000,107,A#,Minor,82,66,84,8,0,4,9,Female,White (American)
Rise,GABRIELLE,2000,144,G#,Major,55,63,48,31,0,9,2,Female,Black (British)
Wonderful,Everclear,2000,186,G,Major,51,73,81,1,0,34,5,Group,White (American)
You Sang To Me,Marc Anthony,2000,165,A#,Major,57,74,89,1,0,21,2,Male,Multiracial (American)
Bag Lady,Erykah Badu,2000,151,F,Minor,72,57,41,36,0,9,8,Female,Black (American)
Bent,Matchbox Twenty,2000,95,F#,Minor,51,52,83,4,0,37,3,Group,White (American)
Gotta Tell You,Samantha Mumba,2000,109,C,Minor,73,75,75,20,0,15,2,Female,Black (Irish)
Dancing in the Moonlight,Toploader,2000,119,C,Minor,63,84,85,5,0,35,3,Group,White (British)
Don't Call Me Baby,Madison Avenue,2000,124,D#,Minor,80,96,98,5,0,35,3,Group,White (Australian)
Let's Get Married,Jagged Edge,2000,109,C#,Major,76,89,62,17,0,12,5,Group,Black (American)
Wifey,Next,2000,99,G,Minor,82,72,65,6,0,8,10,Group,Black (American)
Case Of The Ex (Whatcha Gonna Do),MÃ½a,2000,98,C#,Minor,77,35,68,6,0,7,4,Female,Black (American)
Freestyler,Bomfunk MC's,2000,163,B,Minor,82,56,92,2,32,25,9,Group,White (Finnish)
I Wish,Carl Thomas,2000,89,C#,Major,73,22,66,5,0,10,3,Male,Black (American)
